Siruta,Y_c1,Y_c2
1017,0.010367135573358664,0.16825635247539042
1071,-0.09731391312442536,-5.286052019898544e-05
1151,-0.0356707884786319,-5.289237250129639e-05
1213,0.47124036102956784,-5.315430418010388e-05
1348,0.34152178568798375,-5.308727585725356e-05
1455,0.015885279406941285,-5.2919012608618454e-05
1696,0.4822045531602427,-5.315996960932369e-05
1794,0.1867317576742567,-5.300729258606725e-05
1874,0.6231309693465166,-5.323278925980474e-05
1936,0.02429116004045866,-5.2923356104369836e-05
2130,-0.11819460791551115,-5.28497307038679e-05
2309,-0.13863673502136936,-5.2839167825776774e-05
2381,-0.12803801596171702,-5.284464440739493e-05
2577,-0.13198512512875996,-5.2842604852880557e-05
2915,-0.07068310868258704,-5.287428089936312e-05
2988,-0.11987578404221462,-5.284886200472093e-05
3039,-0.05209271180324265,-5.2883886947279214e-05
3397,-0.14689642642647768,-5.283489986907783e-05
3459,-0.13271607127080495,-5.2842227157595644e-05
3761,-0.14604365592742521,-5.2835340513568193e-05
3805,-0.13032831387345795,-5.284346096216767e-05
3841,-0.16373255256491395,-5.2826200287705006e-05
3958,-0.09263585781533804,-5.286293744891301e-05
4008,-0.14080520857610276,-5.283804732974026e-05
4106,-0.12418836628028004,-5.284663360253677e-05
4142,-0.11853571611513214,-5.284955444608571e-05
4188,-0.11765858074467815,-5.2850007680394715e-05
4240,-0.09324497960037552,-5.286262270286048e-05
4268,-0.1456538179850012,-5.2835541951057455e-05
4302,-0.13045013823046545,-5.2843398012935295e-05
4366,-0.06259397137728898,-5.28784607250399e-05
4482,-0.11836516201532164,-5.28496425749562e-05
4525,-0.128671502618156,-5.284431707146825e-05
4703,-0.14082957344750432,-5.2838034739948966e-05
4767,-0.11877936482914714,-5.28494285476483e-05
4927,-0.002680752601001421,-5.290941914842203e-05
4981,-0.1547175501463591,-5.2830858529589516e-05
5103,-0.040641222244537825,-5.288980417338752e-05
5167,-0.13902657296379334,-5.2838966388287506e-05
5210,-0.10381933378862636,-5.285715871108872e-05
5309,-0.1078639024412753,-5.2855068797202244e-05
5336,-0.09266022268673953,-5.286292485908008e-05
5577,-0.1009686438346509,-5.285863172270264e-05
5700,-0.09010191118958207,-5.28642467925638e-05
5755,-0.11829206740111714,-5.284968034449579e-05
5826,-0.15021004893708165,-5.283318765047668e-05
6048,-0.12572335317857453,-5.28458404424547e-05
6119,-0.15561905038821458,-5.283039270535169e-05
6164,-0.15354803631908712,-5.2831462842001795e-05
6217,-0.0820127738842842,-5.286842662036409e-05
6271,-0.14294931725943474,-5.283693942360607e-05
6397,-0.15596015858783555,-5.283021644758297e-05
6468,-0.14404573647250224,-5.2836372880678707e-05
6547,-0.13766214016530937,-5.2839671419526436e-05
6592,-0.14438684467212326,-5.2836196622909984e-05
6627,-0.15678856421548656,-5.282978839293941e-05
6761,-0.10004277872139393,-5.285911013673218e-05
6930,-0.13098616540129843,-5.284312103640848e-05
6976,-0.1322531387141764,-5.284246636458287e-05
7044,-0.11263941723596924,-5.2852601188003515e-05
7099,-0.013596214988873244,-5.2903778898854104e-05
7197,-0.12901261081777696,-5.284414081368606e-05
7348,-0.10413607711684585,-5.285699504312517e-05
7384,-0.09643677775397197,-5.286097343345049e-05
7446,-0.12621065060660452,-5.28455886456072e-05
7767,-0.10959380831078176,-5.28541749183482e-05
7810,-0.10995928138180427,-5.285398607071962e-05
7865,-0.06198484959225149,-5.287877547111304e-05
7945,-0.10686494271381382,-5.285558498074362e-05
8014,-0.09901945412253092,-5.285963891010608e-05
8096,0.013205143552776327,-5.291762772591434e-05
8158,-0.04644006163809475,-5.2886807790814485e-05
8229,-0.13649262633803738,-5.2840275731965644e-05
8354,-0.09353735805719351,-5.286247162472986e-05
8425,-0.12959736773141298,-5.284383865745258e-05
8826,-0.03659665359188889,-5.289189408728073e-05
9019,-0.13907530270659632,-5.2838941208621645e-05
9026,-0.11137244392309126,-5.285325585984258e-05
9262,4.1950942114205665,-5.5078497978522354e-05
9280,-0.07955192187273276,-5.286969819450305e-05
9333,-0.08535076126628964,-5.286670181190226e-05
9360,-0.10296656328957389,-5.2857599355606004e-05
9397,0.1463104360191688,-5.298640603694078e-05
9459,0.03557209549935299,-5.2929185201562976e-05
9495,0.04236989462037141,-5.293269776767718e-05
9538,0.06344550838266859,-5.2943587981667645e-05
9574,0.10766774997639039,-5.296643854629175e-05
9627,0.024973376439700653,-5.2923708619961755e-05
9654,0.02799462049348663,-5.292526976043933e-05
9690,-0.012962728332434255,-5.2904106234766854e-05
9743,-0.10603653708616283,-5.285601303540106e-05
9798,-0.08639845073655414,-5.2866160448681554e-05
9832,-0.13235059819978243,-5.2842416005238104e-05
9887,-0.14419192570091124,-5.283629734162728e-05
9930,-0.09629058852556298,-5.2861048972501924e-05
10006,-0.12396908243766655,-5.284674691111391e-05
10051,-0.12530915036474904,-5.2846054469776476e-05
10104,-0.10803445654108579,-5.2854980668290544e-05
10195,-0.08725122123560662,-5.2865719804178145e-05
10239,-0.1401229921768608,-5.283839984536014e-05
10293,-0.08698320765019012,-5.2865858292448076e-05
10346,-0.14173107368935975,-5.283756891576582e-05
10373,-0.10323457687499037,-5.285746086730832e-05
10417,-0.13790578887932436,-5.283954552106169e-05
10453,-0.1144424177196802,-5.28516695396511e-05
10514,-0.10369750943161886,-5.285722166032109e-05
10532,-0.09940929206495494,-5.2859437472644986e-05
10649,-0.1406102896048908,-5.2838148048512236e-05
10701,-0.1336906661268649,-5.284172356384598e-05
10765,-0.1353962071249699,-5.2840842274866087e-05
10827,-0.09341553370018603,-5.286253457394878e-05
10872,-0.07048818971137485,-5.287438161599791e-05
10916,-0.1079857267982828,-5.285500584798333e-05
10943,-0.07497132604925082,-5.28720650849298e-05
11058,-0.10260109021855139,-5.2857788203235e-05
11174,-0.1401229921768608,-5.283839984536014e-05
11236,-0.13907530270659632,-5.2838941208621645e-05
11307,-0.15242725223461812,-5.2832041974775135e-05
11352,-0.10769334834146481,-5.28551569260866e-05
11398,0.0046043439480469885,-5.291318351138809e-05
11423,-0.07772455651762027,-5.2870642432701445e-05
11478,-0.1475786428257197,-5.283454735348653e-05
11502,-0.12111839248369109,-5.284821992272784e-05
11539,-0.06425078263259097,-5.2877604615739326e-05
11584,0.17413511915968133,-5.3000783637380213e-05
11637,-0.12596700189258953,-5.2845714544031155e-05
11664,-0.1363220722382269,-5.284036386086388e-05
11735,-0.11680581024562565,-5.2850448324898124e-05
11762,-0.1417067088179583,-5.2837581505612626e-05
11842,-0.09872707566571294,-5.285978998822324e-05
11940,-0.018542283883377673,-5.2901223160776276e-05
11995,-0.09721645363881996,-5.286057055848626e-05
12037,-0.06678472925834693,-5.28762952721022e-05
12055,-0.07633575884773477,-5.287136005373209e-05
12091,0.21097480471874883,-5.301981947964865e-05
12126,-0.1145155123338847,-5.2851631770125377e-05
12144,-0.0686608243562624,-5.2875325854196725e-05
12206,-0.09468250701306401,-5.286187990213705e-05
12224,-0.09916564335093994,-5.285956337106853e-05
12242,-0.06578576953088545,-5.2876811455664395e-05
12288,-0.14867506203878716,-5.283398081055917e-05
12340,-0.06198484959225149,-5.287877547111304e-05
12368,0.05131180242472177,-5.293731823997436e-05
12402,-0.16222193053802095,-5.2826980857967614e-05
12457,-0.12942681363160244,-5.284392678632307e-05
12509,-0.018859027211597157,-5.290105949280946e-05
12572,-0.12893951620357247,-5.2844178583197896e-05
12643,-0.0027051174724028993,-5.290940655855815e-05
12689,-0.10467210428767884,-5.2856718066598766e-05
12778,-0.05774536196839057,-5.288096610377149e-05
12812,-0.10311275251798287,-5.28575238165407e-05
12849,-0.13483581508273537,-5.2841131841252757e-05
