Siruta,X_c1,X_c2
1017,0.017380907779644073,1.5802184835612674
1071,-0.16315057690955942,-0.0004964518120138968
1151,-0.05980347035954206,-0.0004967509602834331
1213,0.7900528742148102,-0.000499210952278536
1348,0.5725746152139041,-0.0004985814402678568
1455,0.02663229148229061,-0.0004970011570179422
1696,0.80843477063675,-0.0004992641604688164
1794,0.3130630863948289,-0.0004978302588622455
1874,1.0447034126467503,-0.0004999480630739653
1936,0.040725078739111166,-0.0004970419499637912
2130,-0.198157877428676,-0.0004963504799715866
2309,-0.23242990209091496,-0.000496251276256907
2381,-0.2146607355497064,-0.0004963027108408025
2577,-0.2212782182616048,-0.0004962835558923278
2915,-0.11850299293360332,-0.0004965810487959456
2988,-0.2009764348800401,-0.0004963423213824206
3039,-0.08733546633373641,-0.000496671266238509
3397,-0.24627759739544297,-0.0004962111927536212
3459,-0.22250367802306745,-0.0004962800086796502
3761,-0.2448478943404032,-0.0004962153311684188
3805,-0.2185005094689561,-0.0004962915962410786
3841,-0.2745040205677995,-0.0004961294886215019
3958,-0.15530763443619844,-0.000496474514175063
4008,-0.23606543271658745,-0.0004962407528592961
4106,-0.20820664747266976,-0.0004963213928276117
4142,-0.1987297586506919,-0.0004963488246056722
4188,-0.1972592069369367,-0.0004963530812609104
4240,-0.156328850904084,-0.0004964715581644948
4268,-0.24419431580095644,-0.000496217223015182
4302,-0.2187047527625332,-0.0004962910050389541
4366,-0.10494123824008325,-0.0004966203046163019
4482,-0.19844381803968394,-0.0004963496522886502
4525,-0.21572280067630742,-0.0004962996365898202
4703,-0.2361062813753029,-0.0004962406346188578
4767,-0.19913824523784612,-0.0004963476422014532
4927,-0.004494386458860853,-0.0004969110578158186
4981,-0.25939001684309343,-0.0004961732375778989
5103,-0.06813659673748813,-0.0004967268392371915
5167,-0.23308348063036166,-0.0004962493844101507
5210,-0.17405716878657707,-0.000496420241821018
5309,-0.1808380461333371,-0.000496400613910834
5336,-0.15534848309491384,-0.0004964743959346386
5577,-0.1692778757168727,-0.0004964340759504807
5700,-0.15105937392979454,-0.0004964868111790289
5755,-0.19832127206353767,-0.0004963500070099073
5826,-0.25183301498074034,-0.0004961951120561195
6048,-0.21078011297174135,-0.0004963139436809577
6119,-0.260901417215564,-0.0004961688626822595
6164,-0.2574292812247531,-0.0004961789131182142
6217,-0.1374976192362745,-0.000496526066999376
6271,-0.23966011468354462,-0.0004962303477020865
6397,-0.2614732984375799,-0.000496167207316359
6468,-0.24149830432573857,-0.0004962250268830701
