,Dissimilarity Index
Romanian,0.508
Hungarians,0.7437
Romany,0.2351
Ukrainians,0.8132
Germans,0.6378
Turks,0.7828
Russians_Lippovans,0.7511
Tatars,0.9371
Serbs,0.8644
Slovaks,0.8697
Bulgarians,0.8359
Croats,0.9476
Greeks,0.5635
Italians,0.333
Jews,0.482
Czechs,0.8748
Poles,0.7614
Chinese,0.7665
Armenians,0.584
Csango,0.6697
Macedonians,0.7033
Another,0.4782
