,C1,C2,C3,C4,C5,C6,C7
RS,0.009489324705920352,0.015795465739958683,0.9452654286836031,0.9714469201186485,0.9961732926050738,0.9999579810912499,0.9999999999999994
FR,0.16884149930120806,0.39228626777326314,0.4225233152496184,0.48258423243958887,0.9998951219187162,0.9999680676550942,0.9999999999999998
IM,0.8732407438811834,0.8898100468607717,0.8905075919516182,0.9052511999154583,0.9120646819364735,0.9714925668168835,1.0000000000000002
MMR,0.6964154649423403,0.7085341878276767,0.7126042428546402,0.7134937919838952,0.7241690461681338,0.999952326143553,0.9999999999999997
LE,0.8942848723147268,0.9020527133736714,0.9057530618138517,0.9185720262375384,0.9243756778522834,0.9692695348688887,0.9999999999999991
LEM,5.685307187407904e-06,0.4034944819040447,0.44266178055762356,0.996666738259326,0.9974006908055404,0.9999952558176105,0.9999999999999997
LEF,0.024620572813706148,0.5207185248663998,0.5226941004700802,0.766067940816452,0.9977227113449755,0.9999876626504909,1.000000000000001
