Tara,C1,C2,C3,C4,C5,C6,C7
Afghanistan,-3.290810412199032,0.47201997069670976,-0.275213696629835,0.03619246287089822,0.2929011246546361,0.4863112585197303,0.11871545603599859
Albania,1.0092320271900332,-0.08501904580154082,1.2749650527920686,0.19521463031743047,-0.44347969498713086,0.36662168982983817,-0.25482434328203385
Algeria,0.7042603604622127,-0.9115467518545975,1.243165198778561,-0.3988661544629719,1.4843230597234787,-0.03266992355515178,-0.2321471441415459
Andorra,0.3075282614707672,0.5516687425648611,0.5152038140462337,2.7784433540655753,1.8612650059137967,-1.2373759645955806,0.2313117303484745
Angola,-2.987139291342552,-2.7387380845205667,1.3486857004922042,0.2332195866732871,0.16891219256344941,0.5105907741116413,-0.282430995913655
Antigua and Barbuda,-0.1866295104113824,1.5335538945284033,-0.7996634670801102,-0.9076481073138258,-0.21907203851783966,-1.5897943189849215,0.05580591142915714
Argentina,1.4006142302741749,0.7534681257154525,-0.6200296765686731,-0.5580564748232633,-0.28687250524544655,0.1491261825965716,0.0013915973881834577
Armenia,0.9088903543199497,-0.7951653638141398,0.7138207839144068,-0.2531682461070157,0.11120935224082452,0.017145119448480958,-0.20319339674346723
Australia,1.9568443814551704,0.49380559959531506,-0.26631478721804397,1.7375475533986153,-0.9749561745341785,-0.018674143706640944,0.18551083470073967
Austria,2.021529266037026,-1.21956447508059,-0.304047232483048,1.1093622191814418,-0.1572201618841393,0.04162950624969726,0.11404589996534065
Azerbaijan,0.40514988318921197,0.13691463251453184,-0.9968626657638778,-0.561700133310315,-1.1558713128527636,-0.10837782024942683,-0.12177451789182349
Bahamas,0.9876808336590945,-1.9658790818857395,-2.3892173883437082,0.06953489281470647,-0.08039923313005384,-0.4737885781436628,0.24309271530432325
Bahrain,1.2941999623105134,0.19418532269108313,0.052349144716658,-1.6702009418659785,-0.037457781997650125,-0.6176477417986634,-0.2405654755949755
Bangladesh,-0.21953183032993742,0.821379499408146,0.2664844222425536,0.5052251589199757,-1.2691137834942783,0.44677075395014815,-0.08117172587106032
Barbados,1.6308702985686692,0.8506401930979581,-0.06089387607220529,0.96947635569167,-0.8703949162214237,0.7786695212403453,-0.0012090777480636718
Belarus,0.2789881227537639,-0.52178438408545,0.29110870569863967,-1.8654960213967084,0.03024931528384961,-0.5966698812005534,0.2937682047676656
Belgium,1.8527526607316478,-1.0601750788550928,0.8141124915752138,-0.240850160932936,0.1608819953862638,-0.37092367179863384,0.12763345244500765
Belize,0.8953588586211625,-1.9097433560968535,-0.6488219123017606,-0.37943528686883243,0.24077012008727036,0.09014122908189826,-0.03724018892449501
Benin,-1.819786798937471,-0.2672375908149345,1.3393705964575808,-0.30199842514198644,-0.37541811999200025,-0.21248219415043976,-0.3043308513121453
Bhutan,-0.9167467156114616,1.0330773874781147,1.2031533545147846,-0.9486798540298584,1.8935675504727512,-0.11193402047863218,-0.1481092762037416
Bolivia,-0.21952496408678307,-0.6251175890458359,-0.08115878405679232,0.2116991236808071,-0.48047676343283335,-0.14663145145594225,-0.21320226193297323
Bosnia and Herzegovina,1.3139304625196955,-0.8175434633366724,-1.7251810818516375,0.7542753043623196,0.3178018892215527,-0.04479370296377548,-0.16312598110025617
Botswana,-2.6351622857468904,-0.8640801066659328,1.8380701553399101,0.2750009020246191,-1.4055384722110416,1.8396056122930662,0.3659149895710505
Brazil,0.13764633328704612,-0.5491941981423237,-0.422077376223238,0.40382280207511845,0.33858548047152703,-0.4887079579538385,-0.014870386858801604
Brunei Darussalam,1.8728810100866142,1.6006331895991557,-1.5211044194210763,-0.9216696951977436,-1.2049732643862385,0.39470520838801115,-0.11426856490571548
Bulgaria,1.1811259195035078,-0.8121104329565755,-0.7732097489354389,-0.6685184575279015,0.044067614189263866,-0.344337231931275,0.11448595323006952
Burkina Faso,-2.543536756343554,-0.7685117604965283,0.9330097945490533,-1.9776198010480834,-0.5915249880955328,-0.3313901468155552,-0.39322161535252054
Burundi,-3.245959624371157,-0.9069674219091681,-1.5731700341355637,0.5077013202454175,1.50381207690608,0.14726794355165815,-0.15910102930065534
Cambodia,-1.8764915916846863,0.4939249228106734,-0.2702014493310506,0.8630022480825811,1.5458293271465129,-0.21029274624479496,-0.1242583923900365
Cameroon,-2.109003039752481,-0.8387276236540689,-0.4619678457959186,0.30781232334979053,-0.7776606180357373,-0.03888704583974362,-0.20393239957331352
Canada,1.950470374501921,0.7510130586790027,-0.7954114332349099,1.0558853314807732,-0.4457629472924833,0.05468860579505913,0.16421366397075357
Cape Verde,-0.6601031447404653,0.1685144750179819,-0.3113617884295794,0.15299511880223643,1.470163660571249,-1.2382624913342457,0.2156614938473408
Central African Republic,-2.3315931821115043,-1.4083257613592353,-0.4747010786449151,0.9191345112648897,-1.5586391881504922,0.49151530820429234,-0.2207470038228991
Chad,-2.878321894048733,0.8882134784545852,0.3027117181272866,-0.04057533691366605,0.7389715953806935,-0.0021880778531681755,0.04993709548159523
Chile,0.8449558753226613,1.5992983626417072,-0.9374410761938367,0.30294743401022367,2.144483492709169,-0.24685736502204486,0.014243206128556151
China,1.069697158167274,-0.06989880757685575,-0.46683218498631734,1.8295352957418751,-1.3069297452530833,0.08488625469401467,-0.08058526271413467
Colombia,1.2983964590928763,1.54308253444349,-0.7533638781416008,-0.585418521575653,-1.3040438626890123,0.7066101471881061,0.01567308175686349
Comoros,-0.15347756360070822,-0.612357922826564,0.02052608261004201,-0.5992599788394822,-0.3567207448375601,-0.2730388857464126,-0.09109547461920142
Congo,-2.1438999686292677,1.323182699833166,-0.33154183665666853,-0.9290506570036539,0.35795861343674373,0.048956374054066255,0.3086286903296979
Cook Islands,2.2983969430702342,0.7721127178257486,-0.4607444640482857,-1.497119244814351,2.51157881727604,2.4545103357189237,-0.2029806230941801
Costa Rica,1.8936872344947173,0.359512583701289,-0.1474369148649184,-1.5908512131571697,-0.012781795660120982,0.03693821753264938,-0.05383229504861465
